brand,model,year,km_driven,fuel_type,transmission,engine_cc,horsepower,owner_count,price_lakh
Maruti,Swift,2020,32000,Petrol,Manual,1197,89,1,6.2
Hyundai,i20,2021,28000,Petrol,Manual,1197,88,1,7.5
Tata,Nexon,2022,18000,Petrol,Manual,1199,118,1,9.8
Honda,City,2019,42000,Petrol,Manual,1498,117,1,10.2
Toyota,Innova,2018,65000,Diesel,Manual,2393,148,2,17.5
Mahindra,Thar,2022,22000,Diesel,Manual,2184,130,1,14.8
Kia,Seltos,2021,30000,Diesel,Automatic,1493,115,1,15.2
Volkswagen,Polo,2019,38000,Petrol,Manual,999,108,1,7.1
Renault,Kwid,2020,35000,Petrol,Manual,999,67,1,4.2
Ford,Ecosport,2018,55000,Diesel,Manual,1498,99,2,6.8
Maruti,Baleno,2021,25000,Petrol,Manual,1197,89,1,7.1
Hyundai,Creta,2022,15000,Petrol,Automatic,1497,113,1,16.5
Tata,Harrier,2020,45000,Diesel,Manual,1956,168,1,14.2
Honda,Amaze,2019,40000,Diesel,Manual,1498,100,1,7.8
Toyota,Fortuner,2021,28000,Diesel,Automatic,2755,201,1,35.5
Mahindra,XUV500,2018,62000,Diesel,Manual,2179,155,2,10.5
Kia,Sonet,2022,17000,Petrol,Manual,1197,118,1,9.2
Hyundai,Verna,2020,33000,Petrol,Automatic,1497,115,1,11.4
Maruti,WagonR,2019,47000,Petrol,Manual,1197,88,2,4.8
Tata,Punch,2022,12000,Petrol,Manual,1199,86,1,7.4
Honda,WRV,2018,58000,Diesel,Manual,1498,100,2,7.2
Toyota,Etios,2017,70000,Diesel,Manual,1364,67,2,5.1
Mahindra,Scorpio,2019,52000,Diesel,Manual,2179,140,1,12.8
Kia,Carnival,2021,26000,Diesel,Automatic,2199,197,1,29.5
Hyundai,Venue,2020,31000,Petrol,Manual,1197,118,1,8.3
Maruti,Vitara,2019,44000,Petrol,Automatic,1462,103,1,8.9
Tata,Altroz,2021,27000,Diesel,Manual,1497,89,1,7.6
Renault,Duster,2018,61000,Diesel,Manual,1598,108,2,7.5
Ford,Endeavour,2019,48000,Diesel,Automatic,1996,168,1,27.2
Volkswagen,Vento,2018,50000,Petrol,Manual,1598,103,2,7.3
Maruti,Ciaz,2020,36000,Petrol,Manual,1462,103,1,8.4
Hyundai,Aura,2021,24000,Petrol,Manual,1197,83,1,6.3
Tata,Tiago,2020,29000,Petrol,Manual,1199,84,1,5.1
Honda,Elevate,2023,10000,Petrol,Manual,1498,121,1,14.5
Toyota,UrbanCruiser,2020,34000,Petrol,Manual,1462,103,1,8.7
Mahindra,Bolero,2017,80000,Diesel,Manual,1493,75,3,5.8
Kia,Carens,2022,19000,Diesel,Automatic,1493,115,1,16.8
Hyundai,Tucson,2021,23000,Diesel,Automatic,1995,182,1,24.5
Maruti,Ignis,2019,41000,Petrol,Manual,1197,82,2,5.3
Tata,Safari,2022,21000,Diesel,Automatic,1956,168,1,19.5
Honda,Civic,2019,37000,Petrol,Automatic,1799,141,1,15.8
Toyota,Corolla,2018,46000,Petrol,Automatic,1794,138,2,12.6
Mahindra,XUV700,2022,16000,Diesel,Automatic,2198,182,1,22.8
Kia,Seltos,2020,39000,Petrol,Manual,1497,113,2,11.2
Hyundai,Grand i10,2018,53000,Petrol,Manual,1197,82,2,4.6
Maruti,Alto,2019,45000,Petrol,Manual,998,66,2,3.5
Tata,Nexon,2020,36000,Diesel,Manual,1497,108,1,8.4
Honda,City,2022,14000,Petrol,Automatic,1498,119,1,14.2
Toyota,Innova,2020,40000,Diesel,Automatic,2393,148,1,21.5
Mahindra,Thar,2023,9000,Petrol,Automatic,1997,150,1,17.9

